,account_id,account_name,ad_id,area,area_name,area_v2,category,category_name,image,latitude,longitude,location,list_id,list_time,price,region_name,rooms,size,street_name,subject,type,ward_name
151,527934,Thành Đạt,157089355,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/MqJH2p6kDUoPblroZUSq2uU9p_dybY0XXvfxCS_OqIw/preset:listing/plain/d63bf4570fdad0c74bc9090c29adbdb4-2876806813552453825.jpg,10.7761,106.6878,"10.7761,106.6878",116007638,1714710488000.0,260000000000.0,Tp Hồ Chí Minh,4.0,334.0,Đường Nguyễn Đình Chiểu,"Nhà mặt tiền Nguyễn Đình Chiểu, Q3, 16.7x20m, sổ hồng, 2 sân oto",s,Phường Võ Thị Sáu
152,21860042,TUẤN,157088454,98,Quận 3,13098,1010,Căn hộ/Chung cư,https://cdn.chotot.com/lNGX7PjwUU9-9mPpx6lyEKybAZXro9c_S0CY7TXzdtU/preset:listing/plain/68181dfffaaab54b3cd1eb6a95774582-2876804804888897406.jpg,10.7765,106.6885,"10.7765,106.6885",116006865,1714709321000.0,9300000000.0,Tp Hồ Chí Minh,3.0,94.0,Bà Huyện Thanh Quan,"Bán Căn Duplex Saigon Pavillon, 53 Bà Huyện Thanh Quan,  Quận 3",s,Phường Võ Thị Sáu
153,11366739,Thiên Lý,157087606,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/evZAMm1rPR34Eoo9FXa87Ugb8I1-ECRmQS_Oj3GsTOA/preset:listing/plain/598d4f8afb3b0a5940ff3dd4cd13db76-2876802961206592064.jpg,10.7888,106.6687,"10.7888,106.6687",116006121,1714708296000.0,6600000000.0,Tp Hồ Chí Minh,3.0,27.0,Đường Trường Sa,Bán nhà mặt tiền trường sa căn góc vị trí thuận lợi kinh doanh,s,Phường 12
154,11214176,Quốc Cường ,156919319,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/IGXT3l222MqPByrf1OhXuwIPK7yLXAM2Kw3O-BFd2LA/preset:listing/plain/6e861fe9e61b04709a98d357b93abb05-2875783255030348000.jpg,10.7867,106.6796,"10.7867,106.6796",115862300,1714708053614.0,6900000000.0,Tp Hồ Chí Minh,3.0,41.0,Đường Lê Văn Sỹ,bán nhà hẻm  lê văn sỹ p13 q3 4.1 dài 11  trệt 2 lầu 3pn giá 6.9 tỷ tl,s,Phường 13
155,19968498,Thaotran,157087221,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/s086RPU-d9t4-pPzdv7NR2l3bwY4eXLr-MCC1GivLIo/preset:listing/plain/f23e69f407ec0948104054073a672dc5-2876801888671838783.jpg,10.7717,106.6836,"10.7717,106.6836",116005832,1714707892000.0,5300000000.0,Tp Hồ Chí Minh,2.0,43.0,Nguyễn Đình Chiễu,"Nợ Ngân hàng bán gấp, giá rẻ 5.3 tỷ hẻm thông 3m, TT Q3",s,Phường 4
156,15169490,Nhựt Cảnh,157087044,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/07e6dr2DEuJY7V46wTi-xA6X_fgPZ_eTfJDZNGBHzrM/preset:listing/plain/b19d2db78c75dbb641bbea91889475e7-2876801005610836872.jpg,10.7786,106.6801,"10.7786,106.6801",116005747,1714707795000.0,8500000000.0,Tp Hồ Chí Minh,3.0,45.0,Đường Cách Mạng Tháng 8,"Bán nhà HXH 6m F.10 Q.3 45m2 3L. giá 8,5 tỷ",s,Phường 10
157,770044,Nguyễn Xuân Hiệp,154785983,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/Vp7piamC6iDEW1Ds7-kH8ExP3RjTuAhAKERf7_Y0sjo/preset:listing/plain/4df397309586f72170d71e0283ea0688-2866533099698427329.jpg,10.7833,106.6744,"10.7833,106.6744",114027185,1714707395000.0,4080000000.0,Tp Hồ Chí Minh,2.0,26.0,"Trần Văn Ðang, Phường 11, Quận 3, Thành phố Hồ Chí Minh, 70150, Việt Nam","Bán nhà đẹp 26m2 (4.15m x 7m) Trần Văn Đang, P.11, Quận 3",s,Phường 11
158,3779575,Thanh Trúc,154671973,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/h3422v0zfiFIZuechu3MgHWtLP6ZoIAxAmt4r8flsdE/preset:listing/plain/a894817fd1e17ff3c6ad44b52343206c-2866006725143885612.jpg,10.7785,106.68,"10.7785,106.68",113928706,1714706374000.0,10200000000.0,Tp Hồ Chí Minh,4.0,65.0,Cách Mạng Tháng 8,"CMT8, 65m2, 4PN, có PN trệt, 2 MT hẻm, tặng nôi thất, nhỉnh 10 tỷ",s,Phường 10
159,195380,Ms Phương Châm,157085395,98,Quận 3,13098,1010,Căn hộ/Chung cư,https://cdn.chotot.com/euB5Maqa2kh5ZhCfZukF0fQDjakuDQ04m8k-AmlbQvE/preset:listing/plain/c58c7a497e6b9ac2ddbd7b5202aa391c-2876796884717633536.jpg,10.7736,106.6893,"10.7736,106.6893",116004200,1714705763000.0,4700000000.0,Tp Hồ Chí Minh,2.0,64.0,Đường Nguyễn Thị Minh Khai,Căn hộ dual key 2 phòng studio vị trí mặt tiền trung tâm TPHCM quận 3,s,Phường 5
160,5513800,Chị HÀ,154761158,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/CkOu8YCuDayA8val3iAlIqTb0JBX71GQqUyz2HMrSQk/preset:listing/plain/4924e01ae9bfa07d57bbb2a17a5364a6-2866416110515126517.jpg,10.7679,106.6745,"10.7679,106.6745",114005669,1714704783405.0,9200000000.0,Tp Hồ Chí Minh,3.0,37.7299,Ðiện Biên Phủ,"Nhà 2 lầu đúc, hẻm 633 đường Điện Biên Phủ, F.1, Q. 3",s,Phường 1
161,26385435,Phúc,157084438,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/EnI87KYZhnu0Uzo7Zz3dPyAOaEVZUMdhqSK-KZ5ToBU/preset:listing/plain/87734d7116116d251176511d883407a8-2876798766539654181.jpg,10.7889,106.6548,"10.7889,106.6548",116003409,1714704681000.0,7200000000.0,Tp Hồ Chí Minh,2.0,35.0,CMT8,Bán Nhà CMT8 - Q3 - HXH,s,Phường 3
162,25697627,Mr Cường,152782283,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/-5N1cL7-vSx9qK0cjNzJLC29fnhZJGUjKgDReQjH0BE/preset:listing/plain/85797e6a4454e3c092f8f75025f97a0a-2855251479404894271.jpg,10.7867,106.6796,"10.7867,106.6796",112306103,1714704450000.0,9900000000.0,Tp Hồ Chí Minh,3.0,115.0,Lê Văn Sỹ,"Tổng đất 115m2 - Nhà C4 HXH đỗ cổng Lê Văn Sỹ Q3 - giá bán 9,9 tỷ",s,Phường 13
163,25697627,Mr Cường,152926801,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/xWy-_7XmM6S5gnCZI0sLV7SsyBvdlD7VyV_18hv78_A/preset:listing/plain/d18842ed56e533ab8543b431eb906a1f-2855929938226479920.jpg,10.7741,106.6856,"10.7741,106.6856",112429915,1714704414000.0,6400000000.0,Tp Hồ Chí Minh,3.0,26.0,Nguyễn Đình Chiểu,"Hiếm - Nhà mới 5 tầng Quận 3- HXH LT Nguyễn Đình Chiểu- giá chỉ 6,4 tỷ",s,Phường 4
164,1773696,Nguyễn Minh Bắc,157083596,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/G0K0Fg5Ry023MUvL6s54Sh7i59ejW984xVA3KiL8FfI/preset:listing/plain/320429a94f8ac8ae1c1541c2affceff1-2876795232606405669.jpg,10.7827,106.6793,"10.7827,106.6793",116002675,1714703611000.0,17000000000.0,Tp Hồ Chí Minh,4.0,127.0,Đường Trần Văn Đang,Cần bán nhà hẻm 6m trung tâm Quận 3 đường Trần Văn Đang,s,Phường 9
165,415527,Đinh Nguyên Thùy,157083460,98,Quận 3,13098,1010,Căn hộ/Chung cư,https://cdn.chotot.com/JLKOLFJqYoDm5gCdmvZCVbcWoaKomo3bTyuluswhxJU/preset:listing/plain/e065503614585555f0334bf60044af5a-2876794346818534388.jpg,10.786,106.6782,"10.786,106.6782",116002568,1714703470000.0,2300000000.0,Tp Hồ Chí Minh,2.0,43.5998,Đường Trần Quang Diệu,Cần bá,s,Phường 13
